Constituency Code,Constituency,選區,Candidate Number,Name of Candidate,候選人姓名,No. of Votes Received,Result
A01,CHUNG WAN,中環,1,HUI CHI FUNG,許智峯,1090,1
A01,CHUNG WAN,中環,2,LAU WAI YAN VIENNA,劉尉欣,940,0
A02,MID LEVELS EAST,半山東,1,NG SIU HONG,吳兆康,1521,1
A02,MID LEVELS EAST,半山東,2,CHEUNG YICK HUNG JACKIE,張翼雄,1466,0
A03,CASTLE ROAD,衛城,1,CHENG LAI KING,鄭麗琼,1457,1
A03,CASTLE ROAD,衛城,2,NG LUNG FEI,吳龍飛,1311,0
A04,PEAK,山頂,1,CHAN SHU MOON,陳樹滿,317,0
A04,PEAK,山頂,2,CHAN HO LIM JOSEPH,陳浩濂,1837,1
A05,UNIVERSITY,大學,1,LAU EDWARD WAI TAK,劉偉德,1455,0
A05,UNIVERSITY,大學,2,CHAN CHIT KWAI,陳㨗貴,1844,1
A06,KENNEDY TOWN & MOUNT DAVIS,堅摩,1,SIN CHEUK NAM,冼卓嵐,1072,0
A06,KENNEDY TOWN & MOUNT DAVIS,堅摩,2,CHOW SAI KIT,周世傑,838,0
A06,KENNEDY TOWN & MOUNT DAVIS,堅摩,3,CHAN HOK FUNG,陳學鋒,1859,1
A07,KWUN LUNG,觀龍,1,LEUNG CHUNG HANG SIXTUS,梁頌恆,1569,0
A07,KWUN LUNG,觀龍,2,YEUNG HOI WING,楊開永,2491,1
A08,SAI WAN,西環,1,CHONG WING FAI WINFIELD,莊榮輝,1898,0
A08,SAI WAN,西環,2,CHEUNG KWOK KWAN,張國鈞,2011,1
A09,BELCHER,寶翠,1,YIP WING SHING,葉永成,2397,1
A09,BELCHER,寶翠,2,YEUNG SUI YIN,楊浩然,2328,0
A10,SHEK TONG TSUI,石塘咀,1,YIP KAM LUNG SAM,葉錦龍,1336,0
A10,SHEK TONG TSUI,石塘咀,2,CHAN CHOI HI,陳財喜,1898,1
A11,SAI YING PUN,西營盤,1,LO YEE HANG,盧懿杏,1790,1
A11,SAI YING PUN,西營盤,2,NG WING TAK,伍永德,1204,0
A12,SHEUNG WAN,上環,1,LUI HUNG PAN,呂鴻賓,1344,0
A12,SHEUNG WAN,上環,2,KAM NAI WAI,甘乃威,1436,1
A13,TUNG WAH,東華,1,SIU KA YI,蕭嘉怡,1352,1
A13,TUNG WAH,東華,2,HO CHUN KI FREDERICK,何俊麒,980,0
A14,CENTRE STREET,正街,1,CHEUNG KAI YIN,張啟昕,1621,0
A14,CENTRE STREET,正街,2,LEE CHI HANG SIDNEY,李志恒,1654,1
A15,WATER STREET,水街,1,YEUNG HOK MING,楊學明,1878,1
A15,WATER STREET,水街,2,NG HOI YAN BONNIE,伍凱欣,1619,0
B01,HENNESSY,軒尼詩,1,CHENG KI KIN,鄭其建,1590,1
B01,HENNESSY,軒尼詩,2,CHEONG MAN LEI,張曼莉,760,0
B02,OI KWAN,愛群,1,WONG SUI LUNG,黃瑞龍,915,0
B02,OI KWAN,愛群,2,TANG KING YUNG ANNA,鄭琴淵,1367,1
B03,CANAL ROAD,鵝頸,1,HO GLORIA WING KA,何詠嘉,723,0
B03,CANAL ROAD,鵝頸,2,CHUNG KA MAN JACQUELINE,鍾嘉敏,1018,1
B04,VICTORIA PARK,維園,,CHOW KIT BING JENNIFER,周潔冰,0,2
B05,TIN HAU,天后,1,LEE MAN LUNG JOEY,李文龍,2236,1
B05,TIN HAU,天后,2,CHAN KIN KWOK,陳建國,1021,0
B06,CAUSEWAY BAY,銅鑼灣,,NG YUEN TING YOLANDA,伍婉婷,0,2
